idx,text,label,category
45,Senthil group company Apnt 5pm.,1,ambiguous
46,I'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-),1,easy
47,"Good morning, im suffering from fever and dysentry ..will not be able to come to office today.",1,none
48,"Bill, as in: Are there any letters for me. i’m expecting one from orange that isn’t a bill but may still say orange on it.",1,ambiguous
49,Oh that was a forwarded message. I thought you send that to me,1,ambiguous
50,"Haha yeah, 2 oz is kind of a shitload",1,none
51,Some of them told accenture is not confirm. Is it true.,1,none
52,Oh you got many responsibilities.,1,ambiguous
53,100 dating service cal;l 09064012103 box334sk38ch,0,ambiguous
54,Love you aathi..love u lot..,1,easy
55,Your gonna be the death if me. I'm gonna leave a note that says its all robs fault. Avenge me.,1,easy
56,"As usual..iam fine, happy &amp; doing well..:)",1,easy
57,"Total disappointment, when I texted you was the craziest shit got :(",1,easy
58,Cant think of anyone with * spare room off * top of my head,1,none
59,What he said is not the matter. My mind saying some other matter is there.,1,hard
60,Today am going to college so am not able to atten the class.,1,ambiguous
61,Super msg da:)nalla timing.,1,easy
62,I've told you everything will stop. Just dont let her get dehydrated.,1,none
63,Oh baby of the house. How come you dont have any new pictures on facebook,1,none
64,"Hey, a guy I know is breathing down my neck to get him some bud, anyway you'd be able to get a half track to usf tonight?",1,none
65,I am great! How are you?,1,easy
66,Don know..he is watching film in computer..,1,none
67,"Right on brah, see you later",1,easy
68,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+",0,ambiguous
69,I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are you seeing on Tuesday?,1,easy
70,"Goodmorning, today i am late for 1hr.",1,easy
71,Thanks for ve lovely wisheds. You rock,1,easy
72,Now press conference da:),1,easy
73,I'll probably be around mu a lot,1,easy
74,Bugis oso near wat... ,1,easy
75,No. Did you multimedia message them or e-mail?,1,ambiguous
76,I am waiting machan. Call me once you free.,1,none
77,Sorry I missed your call let's talk when you have the time. I'm on 07090201529,0,ambiguous
78,Wat r u doing now?,1,easy
79,Yes ammae....life takes lot of turns you can only sit and try to hold the steering...,1,none
80,Heehee that was so funny tho,1,easy
81,Sleeping nt feeling well,1,none
82,I can send you a pic if you like :),1,none
83,Dai  &lt;#&gt;  naal eruku.,1,none
84,For many things its an antibiotic and it can be used for chest abdomen and gynae infections even bone infections.,1,ambiguous
85,Hows the champ just leaving glasgow!,1,ambiguous
86,"Dear Hero,i am leaving to qatar tonite for an apt opportunity.pls do keep in touch at  &lt;EMAIL&gt; ,kerala",1,none
87,"Lol you forgot it eh ? Yes, I'll bring it in babe",1,easy
88,Hey so whats the plan this sat? ,1,none
89,Hey. You got any mail?,1,none
90,"G says you never answer your texts, confirm/deny",1,ambiguous
91,Watching telugu movie..wat abt u?,1,none
92,Please give it 2  or i will pick it up on Tuesday evening about 8 if that is ok.,1,easy
93,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,0,ambiguous
94, what number do u live at? Is it 11?,1,none
95,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;,1,none
96,Dear we got  &lt;#&gt;  dollars hi hi,1,easy
97,"Ill call u 2mrw at ninish, with my address that icky American freek wont stop callin me 2 bad Jen k eh?",1,easy
98,But am going to college pa. What to do. are else ill come there it self. Pa.,1,easy
99,Ok but knackered. Just came home and went to sleep! Not good at this full time work lark.,1,easy
100,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",1,none
101,"Ola would get back to you maybe not today but I ve told him you can be his direct link in the US in getting cars he bids for online, you arrange shipping and you get a cut. Or U????? For a partnership where U????? Invest money for shipping and he takes care of the rest!U??Wud b self reliant soon dnt worry",1,ambiguous
102,Are you wet right now?,1,none
103,Men like shorter ladies. Gaze up into his eyes.,1,ambiguous
104,"Free Msg: get Gnarls Barkleys ""Crazy"" ringtone TOTALLY FREE just reply GO to this message right now!",0,ambiguous
105,Ok...,1,easy
106,Don‘t give a flying monkeys wot they think and I certainly don‘t mind. Any friend of mine and all that!,1,none
107,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,1,none
108,No shoot me. I'm in the docs waiting room. :/,1,none
109,Your right! I'll make the appointment right now.,1,easy
110,Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app ,0,ambiguous
111,Appt is at &lt;TIME&gt; am. Not my fault u don't listen. I told u twice,1,none
112,I'm gonna rip out my uterus.,1,none
113,Wow so healthy. Old airport rd lor. Cant thk of anything else. But i'll b bathing my dog later.,1,easy
114,Sure! I am driving but will reach my destination soon.,1,none
115,Ha... U jus ate honey ar? So sweet...,1,easy
116,How much did ur hdd casing cost.,1,easy
117,No. I.ll meet you in the library,1,easy
118,Ok...,1,none
119,PRIVATE! Your 2003 Account Statement for 078,0,ambiguous
120,Ya very nice. . .be ready on thursday,1,ambiguous
121,"Cant believe i said so many things to you this morning when all i really wanted to say was good morning, i love you! Have a beautiful morning. See you in the library later.",1,easy
122,"Urgent! Please call 0906346330. Your ABTA complimentary 4* Spanish Holiday or £10,000 cash await collection SAE T&Cs BOX 47 PO19 2EZ 150ppm 18+",0,ambiguous
123,"Hack Chat. Get backdoor entry into 121 chat rooms at a fraction of the cost. Reply NEO69 or call 09050280520, to subscribe 25p pm. DPS, Bcm box 8027 Ldn, wc1n3xx",0,ambiguous
124,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,0,ambiguous
125,Depends on where u going lor.,1,none
126,alright. Thanks for the advice. Enjoy your night out. I'ma try to get some sleep...,1,easy
127,See you there! ,1,ambiguous
128,True lov n care wil nevr go unrecognized. though somone often makes mistakes when valuing it. but they will definitly undrstnd once when they start missing it.,1,hard
129,yay! finally lol. i missed our cinema trip last week :-(,1,easy
130,I thk ü gotta go home by urself. Cos i'll b going out shopping 4 my frens present. ,1,none
131,Well there's a pattern emerging of my friends telling me to drive up and come smoke with them and then telling me that I'm a weed fiend/make them smoke too much/impede their doing other things so you see how I'm hesitant,1,hard
132,You are a very very very very bad girl. Or lady.,1,none
133,Tell dear what happen to you. Why you talking to me like an alian,1,ambiguous
134,"He is impossible to argue with and he always treats me like his sub, like he never released me ... Which he did and I will remind him of that if necessary",1,ambiguous
135,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,0,ambiguous
136,You are not bothering me but you have to trust my answers. Pls.,1,easy
137,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com,0,ambiguous
138,"Final Chance! Claim ur £150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Subs 16",0,ambiguous
139,Lol grr my mom is taking forever with my prescription. Pharmacy is like 2 minutes away. Ugh.,1,easy
140,My battery is low babe,1,ambiguous
141,"Rose needs water, season needs change, poet needs imagination..My phone needs ur sms and i need ur lovely frndship forever....",1,easy
142,"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try",1,none
143,Its a part of checking IQ,1,hard
144,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days,0,ambiguous
145,"Yeah, in fact he just asked if we needed anything like an hour ago. When and how much?",1,none
146,"Nowadays people are notixiquating the laxinorficated opportunity for bambling of entropication.... Have you ever oblisingately opted ur books for the masteriastering amplikater of fidalfication? It is very champlaxigating, i think it is atrocious.. Wotz Ur Opinion???? Junna",1,ambiguous
147,What's ur pin?,1,none
148,Here got ur favorite oyster... N got my favorite sashimi... Ok lar i dun say already... Wait ur stomach start rumbling...,1,easy
149,here is my new address -apples&pairs&all that malarky,1,none
150,Dont pick up d call when something important is There to tell. Hrishi,1,easy
151,Boo what time u get out? U were supposed to take me shopping today. :(,1,easy
152,Ok. How many should i buy.,1,none
153,ARR birthday today:) i wish him to get more oscar.,1,none
154,His bday real is in april .,1,none
155,Oooh bed ridden ey? What are YOU thinking of?,1,easy
156,Ya had just now.onion roast.,1,easy
157,I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon,1,none
158,Did u find out what time the bus is at coz i need to sort some stuff out.,1,easy
159,Thanks honey but still haven't heard anything I will leave it a bit longer so not 2 crowd him and will try later - great advice thanks hope cardiff is still there!,1,none
160,Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm,0,ambiguous
161,He neva grumble but i sad lor... Hee... Buy tmr lor aft lunch. But we still meetin 4 lunch tmr a not. Neva hear fr them lei. Ü got a lot of work ar?,1,none
162,Aiyo please ü got time meh.,1,easy
163,Still work going on:)it is very small house.,1,easy
164,Macha dont feel upset.i can assume your mindset.believe me one evening with me and i have some wonderful plans for both of us.LET LIFE BEGIN AGAIN.call me anytime,1,none
165,Thanks honey. Have a great day.,1,easy
166,Haf u eaten? Wat time u wan me 2 come?,1,none
167,<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,0,ambiguous
168,If u sending her home first it's ok lor. I'm not ready yet.,1,easy
169,So that takes away some money worries,1,easy
170,Do u ever get a song stuck in your head for no reason and it won't go away til u listen to it like 5 times?,1,hard
171,I dun believe u. I thk u told him.,1,easy
172,Pls give her the food preferably pap very slowly with loads of sugar. You can take up to an hour to give it. And then some water. Very very slowly.,1,ambiguous
173,Squeeeeeze!! This is christmas hug.. If u lik my frndshp den hug me back.. If u get 3 u r cute:) 6 u r luvd:* 9 u r so lucky;) None? People hate u:,1,none
174,"Each Moment in a day,has its own value-Morning brings hope,afternoon brings faith,Evening brings luv,Night brings rest,Wish u find them all today.Good Morning",1,none
175,"Not really dude, have no friends i'm afraid :(",1,none
176,"Okey dokey, i‘ll be over in a bit just sorting some stuff out.",1,easy
177,"Usf I guess, might as well take 1 car",1,ambiguous
178,"Sir, I need Velusamy sir's date of birth and company bank facilities details.",1,ambiguous
179,Lmao. Take a pic and send it to me.,1,none
180,Today i'm not workin but not free oso... Gee... Thgt u workin at ur fren's shop ? ,1,easy
181,Nope i'm not drivin... I neva develop da photos lei...,1,none
182,Nothing just getting msgs by dis name wit different no's..,1,easy
183,Super da:)good replacement for murali,1,none
184,IMPORTANT MESSAGE. This is a final contact attempt. You have important messages waiting out our customer claims dept. Expires 13/4/04. Call 08717507382 NOW!,0,ambiguous
185,"K I'll head out in a few mins, see you there",1,none
186,I accidentally deleted the message. Resend please.,1,ambiguous
187,When you came to hostel.,1,easy
188,I absolutely LOVE South Park! I only recently started watching the office.,1,ambiguous
189,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,1,none
190,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",0,ambiguous
191,Then why no one talking to me,1,none
192,Have you seen who's back at Holby?!,1,ambiguous
193,"Remember all those whom i hurt during days of satanic imposter in me.need to pay a price,so be it.may destiny keep me going and as u said pray that i get the mind to get over the same.",1,none
194,U too...,1,none
195,Sindu got job in birla soft ..,1,hard
196,So why didnt you holla?,1,easy
197,Ill be there on  &lt;#&gt;  ok.,1,none
198,Goodnight da thangam I really miss u dear.,1,none
199,"Ah, well that confuses things, doesnt it? I thought was friends with now. Maybe i did the wrong thing but i already sort of invited -tho he may not come cos of money.",1,ambiguous
200,U guys never invite me anywhere :(,1,easy
201,"Sorry, I'll call later",1,easy
202,Can you say what happen,1,hard
203,"Waqt se pehle or naseeb se zyada kisi ko kuch nahi milta,Zindgi wo nahi he jo hum sochte hai Zindgi wo hai jo ham jeetey hai..........",1,none
204,Spoons it is then okay?,1,none
205,I tot u outside cos darren say u come shopping. Of course we nice wat. We jus went sim lim look at mp3 player.,1,easy
206,I always chat with you. In fact i need money can you raise me?,1,easy
207,Wake me up at  &lt;#&gt;  am morning:),1,easy
208,Well there's not a lot of things happening in Lindsay on New years *sighs* Some bars in Ptbo and the blue heron has something going,1,ambiguous
209,"Lemme know when I can swing by and pick up, I'm free basically any time after 1 all this semester",1,easy
210,Happy birthday... May all ur dreams come true...,1,none
211,Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394973 from Landline DATEBox1282EssexCM61XN 150p/min 18,0,ambiguous
212,YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a £150 prize. To collect is easy. Just call 09061743386 ,0,ambiguous
213,SO IS TH GOWER MATE WHICH IS WHERE I AM!?! HOW R U MAN? ALL IS GOOD IN WALES ILL B BACK MORROW. C U THIS WK? WHO WAS THE MSG 4?  RANDOM!,1,none
214,THANX 4 PUTTIN DA FONE DOWN ON ME!!,1,none
215,Am going to take bath ill place the key in window:-),1,none
216,I luv u soo much u dont understand how special u r 2 me ring u 2morrow luv u xxx,1,none
217,Oh really?? Did you make it on air? What's your talent?,1,hard
218,I'm in town now so i'll jus take mrt down later.,1,easy
219,"Well, i'm gonna finish my bath now. Have a good...fine night.",1,easy
220,WOW! The Boys R Back. TAKE THAT 2007 UK Tour. Win VIP Tickets & pre-book with VIP Club. Txt CLUB to 81303. Trackmarque Ltd info@vipclub4u.,0,ambiguous
221,But I'm on a diet. And I ate 1 too many slices of pizza yesterday. Ugh I'm ALWAYS on a diet.,1,ambiguous
222,"It's wylie, you in tampa or sarasota?",1,easy
223,No calls..messages..missed calls,1,ambiguous
224,"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us",1,ambiguous
225,Ryder unsold.now gibbs.,1,ambiguous
226,I'm done. C ü there.,1,none
227,We have to pick rayan macleran there.,1,ambiguous
228,"I keep seeing weird shit and bein all ""woah"" then realising it's actually reasonable and I'm all ""oh""",1,none
229,That's significant but dont worry.,1,ambiguous
230,"Its good, we'll find a way",1,none
231,Oh ok i didnt know what you meant. Yep i am baby jontin,1,easy
232,Early bird! Any purchases yet?,1,ambiguous
233,"Buzz! Hey, my Love ! I think of you and hope your day goes well. Did you sleep in ? I miss you babe. I long for the moment we are together again*loving smile*",1,easy
234,Ok. I asked for money how far,1,none
235,Aww that's the first time u said u missed me without asking if I missed u first. You DO love me! :),1,easy
236,Anything lor if they all go then i go lor...,1,easy
237,Where in abj are you serving. Are you staying with dad or alone.,1,ambiguous
238,Moji i love you more than words. Have a rich day,1,easy
239,Friends that u can stay on fb chat with,1,none
240,Oh my God. I'm almost home,1,none
241,Going to join tomorrow.,1,none
242,"Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324",0,ambiguous
243,Glad to see your reply.,1,ambiguous
244,Ü give me some time to walk there.,1,easy
245,K..k.:)congratulation ..,1,none
246,"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,",1,easy
247,V skint too but fancied few bevies.waz gona go meet &othrs in spoon but jst bin watchng planet earth&sofa is v comfey; If i dont make it hav gd night,1,easy
248,"Good morning, my boytoy! How's those yummy lips ? Where's my sexy buns now ? What do you do ? Do you think of me ? Do you crave me ? Do you need me ?",1,none
249,"Sir Goodmorning, Once free call me.",1,none
250,Mm you ask him to come its enough :-),1,easy
251,"Aight, lemme know what's up",1,none
252,"Yeah, give me a call if you've got a minute",1,none
253,Mmm so yummy babe ... Nice jolt to the suzy,1,none
254,"Maybe westshore or hyde park village, the place near my house?",1,ambiguous
255,Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...,1,easy
256,I see a cup of coffee animation,1,ambiguous
257,K...k:)why cant you come here and search job:),1,easy
258,Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468,0,ambiguous
259,Only once then after ill obey all yours.,1,easy
260,Noice. Text me when you're here,1,easy
261,Hmm ill have to think about it... ok you're forgiven! =D,1,easy
262,S now only i took tablets . Reaction morning only.,1,easy
263,Then just eat a shit and wait for ur monkey face bitch.......... U asshole..................,1,none
264,"Yes, princess. Are you going to make me moan?",1,none
265,hi my darlin im on my way to London and we have just been smashed into by another driver! and have a big dent! im really missing u what have u been up to? xxx,1,none
266,"Come around  &lt;DECIMAL&gt; pm vikky..i'm otside nw, il come by tht time",1,easy
267,Well i know Z will take care of me. So no worries.,1,easy
268,Are you still getting the goods.,1,none
269,Stupid.its not possible,1,easy
270,Are you still playing with gautham?,1,ambiguous
271,I've been barred from all B and Q stores for life!?This twat in orange dungerees came up to me and asked if I wanted decking? So I got the first punch in!!,1,ambiguous
272,Chk in ur belovd ms dict,1,none
273,"Hmmm.... Mayb can try e shoppin area one, but forgot e name of hotel...",1,easy
274,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",0,ambiguous
275,"hey, looks like I was wrong and one of the kappa guys numbers is still on my phone, if you want I can text him and see if he's around",1,ambiguous
276,This pay is  &lt;DECIMAL&gt;  lakhs:),1,none
277,Easy ah?sen got selected means its good..,1,easy
278,I cant pick the phone right now. Pls send a message,1,easy
279,I am literally in bed and have been up for like  &lt;#&gt;  hours,1,none
280,I will be outside office take all from there,1,ambiguous
281,K k:) sms chat with me.,1,easy
282,So how's scotland. Hope you are not over showing your JJC tendencies. Take care. Live the dream,1,none
283,"""URGENT! This is the 2nd attempt to contact U!U have WON £1000CALL 09071512432 b4 300603t&csBCM4235WC1N3XX.callcost150ppmmobilesvary. max£7. 50""",0,ambiguous
284,Get ready for  &lt;#&gt;  inches of pleasure...,1,none
285,What time. I‘m out until prob 3 or so,1,none
286,Why don't you go tell your friend you're not sure you want to live with him because he smokes too much then spend hours begging him to come smoke,1,none
287,Yup... I havent been there before... You want to go for the yoga? I can call up to book ,1,easy
288,Shall i send that exe to your mail id.,1,none
289,"Carlos is down but I have to pick it up from him, so I'll swing by usf in a little bit",1,none
290,Hows that watch resizing,1,ambiguous
291,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,0,ambiguous
292,"Short But Cute: ""Be a good person, but dont try to prove it.."" .Gud noon....",1,easy
293,Dad went out oredi... ,1,easy
294,"Hello, my boytoy! I made it home and my constant thought is of you, my love. I hope your having a nice visit but I can't wait till you come home to me ...*kiss*",1,easy
295,Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE,0,ambiguous
296,I cant pick the phone right now. Pls send a message,1,ambiguous
297,ARE YOU IN TOWN? THIS IS V. IMPORTANT,1,none
298,Oh oh... Den muz change plan liao... Go back have to yan jiu again...,1,easy
299,Tired. I haven't slept well the past few nights.,1,none
300,"Multiply the numbers independently and count decimal points then, for the division, push the decimal places like i showed you.",1,ambiguous
301,I dont want to hear philosophy. Just say what happen,1,easy
302,How much for an eighth?,1,ambiguous
303,I'm home...,1,easy
304,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 40 matches. Please call back on 09056242159 to retrieve your messages and matches cc100p/min,0,ambiguous
305,Do u noe wat time e place dat sells 4d closes?,1,none
306,Buy one egg for me da..please:),1,easy
307,U should have made an appointment,1,none
308,S:)but he had some luck.2 catches put down:),1,ambiguous
309,Yes.. now only saw your message..,1,easy
310,Yup... How ü noe leh...,1,easy
311,Eatin my lunch...,1,none
312,Hey gals...U all wanna meet 4 dinner at nìte? ,1,easy
313,I'm at home n ready...,1,easy
314,Can you pls send me that company name. In saibaba colany,1,ambiguous
315,Howz pain.it will come down today.do as i said ystrday.ice and medicine.,1,easy
316,"Sir, i am waiting for your call.",1,easy
317,Gud mrng dear hav a nice day,1,easy
318,Good sleep is about rhythm. The person has to establish a rhythm that the body will learn and use. If you want to know more :-),1,ambiguous
319,Then ü come n pick me at 530 ar?,1,none
320,No. But we'll do medical missions to nigeria,1,ambiguous
321,"Sorry, I can't help you on this.",1,easy
322,I'm at work. Please call,1,easy
323,Dont know you bring some food,1,easy
324,I like to talk pa but am not able to. I dont know y.,1,easy
325,K.k.this month kotees birthday know?,1,easy
326,I probably won't eat at all today. I think I'm gonna pop. How was your weekend? Did u miss me?,1,easy
327,"Yeah I should be able to, I'll text you when I'm ready to meet up",1,easy
328,"So anyways, you can just go to your gym or whatever, my love *smiles* I hope your ok and having a good day babe ... I miss you so much already",1,easy
329,Gud mrng dear hav a nice day,1,easy
330,I can't describe how lucky you are that I'm actually awake by noon,1,hard
331,Pls she needs to dat slowly or she will vomit more.,1,none
332,If anyone calls for a treadmill say you'll buy it. Make sure its working. I found an ad on Craigslist selling for $ &lt;#&gt; .,1,ambiguous
333,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,0,ambiguous
334,We not watching movie already. Xy wants 2 shop so i'm shopping w her now.,1,none
335,"Sppok up ur mob with a Halloween collection of nokia logo&pic message plus a FREE eerie tone, txt CARD SPOOK to 8007",0,ambiguous
336,I'm not driving... Raining! Then i'll get caught at e mrt station lor.,1,easy
337,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop",0,ambiguous
338,Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..,1,none
339,Me i'm not workin. Once i get job...,1,easy
340,"UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available",0,ambiguous
341,Printer is cool. I mean groovy. Wine is groovying,1,ambiguous
342,Otherwise had part time job na-tuition..,1,easy
343,Do you hide anythiing or keeping distance from me,1,easy
344,You still at grand prix?,1,ambiguous
345,"New Tones This week include: 1)McFly-All Ab.., 2) Sara Jorge-Shock.. 3) Will Smith-Switch.. To order follow instructions on next message",0,ambiguous
346,10 min later k...,1,easy
347,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)",1,none
348,"This is the 2nd time we have tried 2 contact u. U have won the £750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate.",0,ambiguous
349,Hui xin is in da lib.,1,easy
350,"Not much, just some textin'. How bout you?",1,easy
351,Then ü ask dad to pick ü up lar... Ü wan 2 stay until 6 meh...,1,easy
352,"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",0,ambiguous
353,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...",1,none
354,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p p£3.99,0,ambiguous
355,Ü dun need to pick ur gf?,1,easy
356,S:-)kallis wont play in first two odi:-),1,easy
357,hanks lotsly!,1,hard
358,Hmmm.but you should give it on one day..,1,easy
359,No i am not having not any movies in my laptop,1,none
360,Ok c ü then.,1,ambiguous
361,"Sorry vikky, i'm Watching olave mandara movie kano in trishul theatre wit my frnds..",1,easy
362,Lol that's different. I don't go trying to find every real life photo you ever took.,1,none
363,"Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)",0,ambiguous
364,I accidentally brought em home in the box,1,ambiguous
365,Then ü wait 4 me at bus stop aft ur lect lar. If i dun c ü then i go get my car then come back n pick ü.,1,ambiguous
